type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,day_added,duration_int
Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90 min,Documentaries,2021,9,25,90
TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,9,24,1
TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",2021,9,24,1
Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,91 min,"Children & Family Movies, Comedies",2021,9,22,91
Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",2021,9,24,125
TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",2021,9,24,9
Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",2021,9,24,104
Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",2021,5,1,87
Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies",2021,9,23,127
Movie,Motu Patlu in Wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",2021,5,1,76
Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",2021,5,1,76
Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",2021,5,1,71
Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,TV-14,39 min,Movies,2021,7,13,39
Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,36 min,Movies,2021,6,12,36
Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,34 min,Movies,2021,6,12,34
Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,2021,TV-14,35 min,Comedies,2021,5,7,35
Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,2019-11-26,2019,TV-Y,46 min,Children & Family Movies,2019,11,26,46
TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,2018,6,15,1
TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,2018,6,15,1
TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,TV-Y,1 Season,Kids' TV,2018,5,18,1
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,2021-09-22,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",2021,9,22,1
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,2021,TV-Y,61 min,Children & Family Movies,2021,9,21,61
Movie,Jeans,S. Shankar,India,2021-09-21,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",2021,9,21,166
Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,103 min,Comedies,2021,9,20,103
Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",2021,9,19,97
Movie,Paranoia,Robert Luketic,United States,2021-09-19,2013,PG-13,106 min,Thrillers,2021,9,19,106
Movie,Minsara Kanavu,Rajiv Menon,India,2021-09-21,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",2021,9,21,147
Movie,Birth of the Dragon,George Nolfi,China,2021-09-16,2017,PG-13,96 min,"Action & Adventure, Dramas",2021,9,16,96
TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,2021-09-16,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,9,16,1
Movie,You vs. Wild: Out Cold,Ben Simms,United States,2021-09-14,2021,TV-G,106 min,Children & Family Movies,2021,9,14,106
Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",2021,9,16,124
Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",2021,9,16,116
Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",2021,9,16,98
Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",2021,9,16,91
Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,2012,R,115 min,Action & Adventure,2021,9,16,115
Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,122 min,"Dramas, Thrillers",2021,9,16,122
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,99
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,99
